# Etrue_lo Etrue_hi Ereco_lo Ereco_hi P(Ereco|Etrue)
5.62341325e+04 7.94328235e+04 6.30957344e+05 8.91250938e+05 0.00000000e+00
5.62341325e+04 7.94328235e+04 8.91250938e+05 1.25892541e+06 0.00000000e+00
5.62341325e+04 7.94328235e+04 1.25892541e+06 1.77827941e+06 0.00000000e+00
5.62341325e+04 7.94328235e+04 1.77827941e+06 2.51188643e+06 0.00000000e+00
5.62341325e+04 7.94328235e+04 2.51188643e+06 3.54813389e+06 0.00000000e+00
5.62341325e+04 7.94328235e+04 3.54813389e+06 5.01187234e+06 0.00000000e+00
5.62341325e+04 7.94328235e+04 5.01187234e+06 7.07945784e+06 0.00000000e+00
5.62341325e+04 7.94328235e+04 7.07945784e+06 1.00000000e+07 0.00000000e+00
7.94328235e+04 1.12201845e+05 1.00000000e+04 1.41253754e+04 6.09380962e-05
7.94328235e+04 1.12201845e+05 1.41253754e+04 1.99526231e+04 3.53048835e-04
7.94328235e+04 1.12201845e+05 1.99526231e+04 2.81838293e+04 5.41840567e-03
7.94328235e+04 1.12201845e+05 2.81838293e+04 3.98107171e+04 2.08825555e-02
7.94328235e+04 1.12201845e+05 3.98107171e+04 5.62341325e+04 6.98826513e-02
7.94328235e+04 1.12201845e+05 5.62341325e+04 7.94328235e+04 2.35105578e-01
7.94328235e+04 1.12201845e+05 7.94328235e+04 1.12201845e+05 5.54367636e-01
7.94328235e+04 1.12201845e+05 1.12201845e+05 1.58489319e+05 1.13488103e-01
7.94328235e+04 1.12201845e+05 1.58489319e+05 2.23872114e+05 3.98832116e-04
7.94328235e+04 1.12201845e+05 2.23872114e+05 3.16227766e+05 2.37757682e-05
7.94328235e+04 1.12201845e+05 3.16227766e+05 4.46683592e+05 1.34306558e-05
7.94328235e+04 1.12201845e+05 4.46683592e+05 6.30957344e+05 5.04487788e-06
7.94328235e+04 1.12201845e+05 6.30957344e+05 8.91250938e+05 0.00000000e+00
7.94328235e+04 1.12201845e+05 8.91250938e+05 1.25892541e+06 0.00000000e+00
7.94328235e+04 1.12201845e+05 1.25892541e+06 1.77827941e+06 0.00000000e+00
7.94328235e+04 1.12201845e+05 1.77827941e+06 2.51188643e+06 0.00000000e+00
7.94328235e+04 1.12201845e+05 2.51188643e+06 3.54813389e+06 0.00000000e+00
7.94328235e+04 1.12201845e+05 3.54813389e+06 5.01187234e+06 0.00000000e+00
7.94328235e+04 1.12201845e+05 5.01187234e+06 7.07945784e+06 0.00000000e+00
7.94328235e+04 1.12201845e+05 7.07945784e+06 1.00000000e+07 0.00000000e+00
1.12201845e+05 1.58489319e+05 1.00000000e+04 1.41253754e+04 1.14623236e-04
1.12201845e+05 1.58489319e+05 1.41253754e+04 1.99526231e+04 3.42585162e-04
1.12201845e+05 1.58489319e+05 1.99526231e+04 2.81838293e+04 3.22896679e-03
1.12201845e+05 1.58489319e+05 2.81838293e+04 3.98107171e+04 1.21374217e-02
1.12201845e+05 1.58489319e+05 3.98107171e+04 5.62341325e+04 3.81085862e-02
1.12201845e+05 1.58489319e+05 5.62341325e+04 7.94328235e+04 9.87510700e-02
1.12201845e+05 1.58489319e+05 7.94328235e+04 1.12201845e+05 2.39058189e-01
1.12201845e+05 1.58489319e+05 1.12201845e+05 1.58489319e+05 5.12767861e-01
1.12201845e+05 1.58489319e+05 1.58489319e+05 2.23872114e+05 9.46680567e-02
1.12201845e+05 1.58489319e+05 2.23872114e+05 3.16227766e+05 6.89522694e-04
1.12201845e+05 1.58489319e+05 3.16227766e+05 4.46683592e+05 1.00146192e-04
1.12201845e+05 1.58489319e+05 4.46683592e+05 6.30957344e+05 2.83941765e-05
1.12201845e+05 1.58489319e+05 6.30957344e+05 8.91250938e+05 0.00000000e+00
1.12201845e+05 1.58489319e+05 8.91250938e+05 1.25892541e+06 4.57726835e-06
1.12201845e+05 1.58489319e+05 1.25892541e+06 1.77827941e+06 0.00000000e+00
1.12201845e+05 1.58489319e+05 1.77827941e+06 2.51188643e+06 0.00000000e+00
1.12201845e+05 1.58489319e+05 2.51188643e+06 3.54813389e+06 0.00000000e+00
1.12201845e+05 1.58489319e+05 3.54813389e+06 5.01187234e+06 0.00000000e+00
1.12201845e+05 1.58489319e+05 5.01187234e+06 7.07945784e+06 0.00000000e+00
1.12201845e+05 1.58489319e+05 7.07945784e+06 1.00000000e+07 0.00000000e+00
1.58489319e+05 2.23872114e+05 1.00000000e+04 1.41253754e+04 2.23329345e-04
1.58489319e+05 2.23872114e+05 1.41253754e+04 1.99526231e+04 4.78299206e-04
1.58489319e+05 2.23872114e+05 1.99526231e+04 2.81838293e+04 2.25416813e-03
1.58489319e+05 2.23872114e+05 2.81838293e+04 3.98107171e+04 9.64275994e-03
1.58489319e+05 2.23872114e+05 3.98107171e+04 5.62341325e+04 2.45967275e-02
1.58489319e+05 2.23872114e+05 5.62341325e+04 7.94328235e+04 6.70511872e-02
1.58489319e+05 2.23872114e+05 7.94328235e+04 1.12201845e+05 1.28292585e-01
1.58489319e+05 2.23872114e+05 1.12201845e+05 1.58489319e+05 2.44348170e-01
1.58489319e+05 2.23872114e+05 1.58489319e+05 2.23872114e+05 4.38688917e-01
1.58489319e+05 2.23872114e+05 2.23872114e+05 3.16227766e+05 8.33418753e-02
1.58489319e+05 2.23872114e+05 3.16227766e+05 4.46683592e+05 9.12621343e-04
1.58489319e+05 2.23872114e+05 4.46683592e+05 6.30957344e+05 1.28256588e-04
1.58489319e+05 2.23872114e+05 6.30957344e+05 8.91250938e+05 3.35753468e-05
1.58489319e+05 2.23872114e+05 8.91250938e+05 1.25892541e+06 7.52818007e-06
1.58489319e+05 2.23872114e+05 1.25892541e+06 1.77827941e+06 0.00000000e+00
1.58489319e+05 2.23872114e+05 1.77827941e+06 2.51188643e+06 0.00000000e+00
1.58489319e+05 2.23872114e+05 2.51188643e+06 3.54813389e+06 0.00000000e+00
1.58489319e+05 2.23872114e+05 3.54813389e+06 5.01187234e+06 0.00000000e+00
1.58489319e+05 2.23872114e+05 5.01187234e+06 7.07945784e+06 0.00000000e+00
1.58489319e+05 2.23872114e+05 7.07945784e+06 1.00000000e+07 0.00000000e+00
2.23872114e+05 3.16227766e+05 1.00000000e+04 1.41253754e+04 2.06067869e-04
2.23872114e+05 3.16227766e+05 1.41253754e+04 1.99526231e+04 4.13374457e-04
2.23872114e+05 3.16227766e+05 1.99526231e+04 2.81838293e+04 1.90126118e-03
2.23872114e+05 3.16227766e+05 2.81838293e+04 3.98107171e+04 6.81735411e-03
2.23872114e+05 3.16227766e+05 3.98107171e+04 5.62341325e+04 1.79401240e-02
2.23872114e+05 3.16227766e+05 5.62341325e+04 7.94328235e+04 4.56586244e-02
2.23872114e+05 3.16227766e+05 7.94328235e+04 1.12201845e+05 8.89097774e-02
2.23872114e+05 3.16227766e+05 1.12201845e+05 1.58489319e+05 1.38589877e-01
2.23872114e+05 3.16227766e+05 1.58489319e+05 2.23872114e+05 2.23123744e-01
2.23872114e+05 3.16227766e+05 2.23872114e+05 3.16227766e+05 3.94318818e-01
2.23872114e+05 3.16227766e+05 3.16227766e+05 4.46683592e+05 8.07310888e-02
2.23872114e+05 3.16227766e+05 4.46683592e+05 6.30957344e+05 1.16223169e-03
2.23872114e+05 3.16227766e+05 6.30957344e+05 8.91250938e+05 1.62781079e-04
2.23872114e+05 3.16227766e+05 8.91250938e+05 1.25892541e+06 5.53938884e-05
2.23872114e+05 3.16227766e+05 1.25892541e+06 1.77827941e+06 9.48201049e-06
2.23872114e+05 3.16227766e+05 1.77827941e+06 2.51188643e+06 0.00000000e+00
2.23872114e+05 3.16227766e+05 2.51188643e+06 3.54813389e+06 0.00000000e+00
2.23872114e+05 3.16227766e+05 3.54813389e+06 5.01187234e+06 0.00000000e+00
2.23872114e+05 3.16227766e+05 5.01187234e+06 7.07945784e+06 0.00000000e+00
2.23872114e+05 3.16227766e+05 7.07945784e+06 1.00000000e+07 0.00000000e+00
3.16227766e+05 4.46683592e+05 1.00000000e+04 1.41253754e+04 2.02557579e-04
3.16227766e+05 4.46683592e+05 1.41253754e+04 1.99526231e+04 4.04845577e-04
3.16227766e+05 4.46683592e+05 1.99526231e+04 2.81838293e+04 1.36346264e-03
3.16227766e+05 4.46683592e+05 2.81838293e+04 3.98107171e+04 5.26976126e-03
3.16227766e+05 4.46683592e+05 3.98107171e+04 5.62341325e+04 1.29527688e-02
3.16227766e+05 4.46683592e+05 5.62341325e+04 7.94328235e+04 3.37744093e-02
3.16227766e+05 4.46683592e+05 7.94328235e+04 1.12201845e+05 6.70266838e-02
3.16227766e+05 4.46683592e+05 1.12201845e+05 1.58489319e+05 9.93924812e-02
3.16227766e+05 4.46683592e+05 1.58489319e+05 2.23872114e+05 1.27550461e-01
3.16227766e+05 4.46683592e+05 2.23872114e+05 3.16227766e+05 2.08953446e-01
3.16227766e+05 4.46683592e+05 3.16227766e+05 4.46683592e+05 3.62780574e-01
3.16227766e+05 4.46683592e+05 4.46683592e+05 6.30957344e+05 7.90748161e-02
3.16227766e+05 4.46683592e+05 6.30957344e+05 8.91250938e+05 9.90793441e-04
3.16227766e+05 4.46683592e+05 8.91250938e+05 1.25892541e+06 2.07701690e-04
3.16227766e+05 4.46683592e+05 1.25892541e+06 1.77827941e+06 4.57321077e-05
