prior_type,phi_mult,phi_true,gamma_true,seed,gamma_post_mean,gamma_ci_lo,gamma_ci_hi,gamma_ci_width,gamma_bias,gamma_covered_90,accept_rate,rhat_max,n_events
flat,0.5,1.03e-18,2.5,0,3.5366524755066377,2.4317197766305725,4.414920790876152,1.9832010142455792,1.0366524755066375,1.0,0.64545,1.1163053447291635,981
flat,0.5,1.03e-18,2.5,1,3.597691559435788,2.774228323097152,4.304344822492385,1.5301164993952328,1.097691559435788,0.0,0.59455,1.078878369296,999
flat,0.5,1.03e-18,2.5,2,2.645564134614356,1.893668985336275,4.136991529759795,2.2433225444235205,0.1455641346143559,1.0,0.5819,1.5360485712074183,1039
flat,0.5,1.03e-18,2.5,3,3.652964227154346,2.5468345912595,4.688814173502789,2.1419795822432888,1.152964227154346,0.0,0.5328583333333333,1.206177168323733,1007
flat,0.5,1.03e-18,2.5,4,3.368680100079815,2.368567193673337,4.313159143512812,1.9445919498394757,0.868680100079815,1.0,0.5731583333333333,1.0921565825566892,987
flat,0.5,1.03e-18,2.7,0,3.5605445303503416,2.4907505105040397,4.540633583385504,2.0498830728814648,0.8605445303503414,1.0,0.6193083333333333,1.1944886544496225,974
flat,0.5,1.03e-18,2.7,1,3.470757312239371,2.6073854108962293,4.176192705860127,1.5688072949638978,0.7707573122393709,1.0,0.5960666666666666,1.183405391869976,993
flat,0.5,1.03e-18,2.7,2,3.513079169882262,2.582069201644404,4.296896472900086,1.7148272712556816,0.8130791698822617,1.0,0.6701999999999999,1.1266774785038691,1030
flat,0.5,1.03e-18,2.7,3,3.728904819340522,2.777142585489256,4.551854068110389,1.7747114826211332,1.028904819340522,0.0,0.5988749999999999,1.0995865954336304,1000
flat,0.5,1.03e-18,2.7,4,3.4109036813973668,2.344391877005625,4.2653011417395525,1.920909264733928,0.7109036813973666,1.0,0.6056166666666667,1.2611538875324997,972
flat,0.5,1.03e-18,2.9,0,3.5410858535469125,2.5340314672947404,4.349634490052242,1.815603022757502,0.6410858535469126,1.0,0.6149416666666666,1.0771469006805905,969
flat,0.5,1.03e-18,2.9,1,3.493617674077657,2.7739221182518983,4.195597323662443,1.4216752054105446,0.5936176740776573,1.0,0.5899666666666666,1.068701984323604,988
flat,0.5,1.03e-18,2.9,2,3.502757084140279,2.619078211785073,4.204511239424697,1.5854330276396236,0.6027570841402792,1.0,0.683,1.1657798295708373,1022
flat,0.5,1.03e-18,2.9,3,3.6878041034901945,2.999709133022689,4.3660956371265565,1.3663865041038674,0.7878041034901946,0.0,0.6309333333333333,1.163291694139553,991
flat,0.5,1.03e-18,2.9,4,3.518673550517497,2.8272302658315094,4.262118321769284,1.4348880559377748,0.6186735505174976,1.0,0.6015083333333333,1.2704803144612908,968
flat,1.0,2.06e-18,2.1,0,2.1152773650856664,1.709539497456548,2.382885864650611,0.6733463671940629,0.0152773650856663,1.0,0.607125,1.2292596617491496,1138
flat,1.0,2.06e-18,2.1,1,1.7539654015750574,1.266587051593227,2.1223941419283934,0.8558070903351664,-0.3460345984249426,1.0,0.5971,1.1785831358600918,1165
